Gmt time,Open,High,Low,Close
15.02.2021 22:18:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:19:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:20:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:21:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:22:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:23:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:24:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:25:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:26:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:27:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:28:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:29:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:30:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:31:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:32:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:33:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:34:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:35:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:36:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:37:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:38:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:39:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:40:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:41:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:42:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:43:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:44:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:45:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:46:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:47:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:48:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:49:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:50:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:51:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:52:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:53:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:54:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:55:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:56:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:57:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:58:00.000,16.417,16.417,16.417,16.417
15.02.2021 22:59:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:00:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:01:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:02:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:03:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:04:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:05:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:06:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:07:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:08:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:09:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:10:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:11:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:12:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:13:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:14:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:15:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:16:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:17:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:18:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:19:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:20:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:21:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:22:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:23:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:24:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:25:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:26:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:27:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:28:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:29:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:30:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:31:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:32:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:33:00.000,16.417,16.417,16.417,16.417
15.02.2021 23:34:00.000,16.417,16.417,16.417,16.417
