Time,Close,Volume,Open,High,Low
2013.5.30,266.83,1667069,265.71,268.57,265.62
2013.5.29,265.53,1901987,265.46,268.25,264.84
2013.5.28,267.29,3470157,266.48,271.1,266
2013.5.24,261.74,1696120,259.85,261.93,258.34
2013.5.23,261.8,2000141,260.49,263.17,259.59
2013.5.22,262.96,3331960,267.39,267.59,260.8
2013.5.21,268.86,1740656,268.74,270.77,267.66
2013.5.20,267.63,2208934,269,271.79,266.5
2013.5.17,269.9,2527271,265.83,269.98,265
2013.5.16,264.12,1637688,265.96,268.43,263.85
2013.5.15,266.56,2719587,267.07,269.05,264.56
2013.5.14,268.33,2698767,264.5,269.4,264.03
2013.5.13,264.51,2149398,262.77,265.88,262
2013.5.10,263.63,3144719,260.88,263.65,260.21
2013.5.9,260.16,2769255,258.73,263.55,256.88
2013.5.8,258.68,2674938,256.87,260.3,255.33
2013.5.7,257.73,3133399,256.31,259.74,252.91
2013.5.6,255.72,2347669,258.09,259.5,253.42
2013.5.3,258.05,3513514,256.14,259.25,254.7
2013.5.2,252.55,3918918,248.94,252.93,245.78
2013.5.1,248.23,4390652,253.9,254.2,245.75
2013.4.30,253.81,4248690,249.37,254.68,248.56
2013.4.29,249.74,7108663,254.9,257.01,249.15
2013.4.26,254.81,14026370,269.97,272.02,252.81
2013.4.25,274.7,5837868,271.53,275.8,270.5
2013.4.24,268.78,1851290,269.5,271.47,266.81
2013.4.23,268.9,2270014,264.5,269.87,264.5
2013.4.22,263.55,2101281,259.35,264.6,258.03
2013.4.19,260.32,2601570,258.16,262.88,257.5
2013.4.18,259.42,3137451,266.81,266.99,256.6
2013.4.17,267.4,3135091,270.8,270.85,264.25
2013.4.16,272.34,2136703,269.31,272.8,268.06
2013.4.15,267.72,3323032,271.08,275.12,267.1
2013.4.12,272.87,2865875,270.12,273.27,267.02
2013.4.11,269.85,3090366,264.74,270.97,264.74
2013.4.10,264.77,2321007,261.78,265.98,259.32
2013.4.9,261.14,2156382,258.85,262.61,257
2013.4.8,258.95,2295573,255.92,259.68,255.63
2013.4.5,255.48,2556957,255.72,256.18,253.67
2013.4.4,259.08,1964277,259.23,260.41,256.12
2013.4.3,259.03,2413113,262.12,263.67,257.75
2013.4.2,263.32,2630881,262.4,265.89,260.55
2013.4.1,261.61,2524625,266.98,267.4,261.01
2013.3.28,266.49,2473257,265.82,267.38,264.06
2013.3.27,265.3,2874824,258.75,265.93,257.9
2013.3.26,260.31,2420504,257.05,261.48,256.28
2013.3.25,256.02,2513758,258.58,259.43,254.5
2013.3.22,257.75,3120954,254.55,257.77,252.07
2013.3.21,253.39,2801078,256.11,257,252.68
2013.3.20,257.28,2734401,258.05,259.76,254.55
2013.3.19,256.41,3737690,258.4,259.5,252.62
2013.3.18,257.89,2719453,259.3,261.49,257.12
2013.3.15,261.82,4865199,264.98,267.26,260.05
2013.3.14,265.74,5225850,269.67,270,263.53
2013.3.13,275.1,1884015,275.24,276.5,272.64
2013.3.12,274.13,3245906,271,277.4,270.36
2013.3.11,271.24,1904365,273.43,273.99,270.4
2013.3.8,274.19,1879762,275,275.44,271.5
2013.3.7,273.88,1938987,274.1,274.8,271.85
2013.3.6,273.79,2050334,275.76,276.49,271.83
2013.3.5,275.59,3684813,274,276.68,269.99
2013.3.4,273.11,3451448,265.36,273.3,264.14
2013.3.1,265.74,2956724,263.27,266.6,261.04
2013.2.28,264.27,2666299,261.81,267,260.63
2013.2.27,263.25,2906804,259.4,265.83,256.86
2013.2.26,259.36,3347611,260.89,262.04,255.73
2013.2.25,259.87,3032009,266.94,268.69,259.65
2013.2.22,265.42,3122802,266.62,267.11,261.61
2013.2.21,265.94,3633797,265.12,269.48,263.25
2013.2.20,266.41,3528862,270.2,274.3,266.37
2013.2.19,269.75,2853252,265.91,270.11,264.5
2013.2.15,265.09,3979632,267.63,268.92,263.11
2013.2.14,269.24,3461880,267.37,270.65,265.4
2013.2.13,269.47,5290202,261.53,269.96,260.3
2013.2.12,258.7,2931544,259.19,260.16,257
2013.2.11,257.21,3401493,263.2,263.25,256.6
2013.2.8,261.95,3879078,261.4,265.25,260.56
2013.2.7,260.23,3975097,264.1,264.1,255.11
2013.2.6,262.22,2766166,265.16,266.89,261.11
2013.2.5,266.89,4009815,262,268.03,261.46
2013.2.4,259.98,3723293,262.78,264.68,259.07
